id,document,label,pos
9976970,아더빙진짜짜증나네요목소리,0,"[('아더', 'Noun'), ('빙', 'Noun'), ('진짜', 'Noun'), ('짜증나네요', 'Adjective'), ('목소리', 'Noun')]"
3819312,흠포스터보고초딩영화줄오버연기조차가볍지않구나,1,"[('흠', 'Noun'), ('포스터', 'Noun'), ('보고', 'Noun'), ('초딩', 'Noun'), ('영화', 'Noun'), ('줄', 'Noun'), ('오버', 'Noun'), ('연기', 'Noun'), ('조차', 'Josa'), ('가볍지', 'Adjective'), ('않구나', 'Verb')]"
10265843,너무재밓었다그래서보는것을추천한다,0,"[('너', 'Modifier'), ('무재', 'Noun'), ('밓었', 'Noun'), ('다그', 'Noun'), ('래서', 'Noun'), ('보는것을', 'Verb'), ('추천', 'Noun'), ('한', 'Josa'), ('다', 'Adverb')]"
9045019,교도소이야기구먼솔직히재미는없다평점조정,0,"[('교도소', 'Noun'), ('이야기', 'Noun'), ('구먼', 'Noun'), ('솔직히', 'Adjective'), ('재미', 'Noun'), ('는', 'Josa'), ('없다', 'Adjective'), ('평점', 'Noun'), ('조정', 'Noun')]"
6483659,사이몬페그의익살스런연기가돋보였던영화스파이더맨에서늙어보이기만했던커스틴던스트가너무나도이뻐보였다,1,"[('사이', 'Modifier'), ('몬페', 'Noun'), ('그', 'Determiner'), ('의', 'Noun'), ('익살스런', 'Adjective'), ('연기', 'Noun'), ('가', 'Josa'), ('돋보였던', 'Verb'), ('영화', 'Noun'), ('스파이더맨', 'Noun'), ('에서', 'Josa'), ('늙어', 'Verb'), ('보이기만', 'Verb'), ('했던', 'Verb'), ('커', 'Verb'), ('스틴던스트', 'Noun'), ('가', 'Josa'), ('너무나도', 'Adverb'), ('이뻐', 'Adjective'), ('보였다', 'Verb')]"
5403919,막걸음마뗀세부터초등학교학년생인살용영화ㅋㅋㅋ별반개도아까움,0,"[('막', 'Noun'), ('걸음', 'Noun'), ('마', 'Noun'), ('뗀세부터', 'Verb'), ('초등학교', 'Noun'), ('학년', 'Noun'), ('생인', 'Noun'), ('살용', 'Verb'), ('영화', 'Noun'), ('ㅋㅋㅋ', 'KoreanParticle'), ('별', 'Modifier'), ('반개', 'Noun'), ('도', 'Josa'), ('아까', 'Adjective'), ('움', 'Noun')]"
7797314,원작의긴장감을제대로살려내지못했다,0,"[('원작', 'Noun'), ('의', 'Josa'), ('긴장감', 'Noun'), ('을제', 'Noun'), ('대로', 'Josa'), ('살려내지못', 'Verb'), ('했다', 'Verb')]"
9443947,별반개도아깝다욕나온다이응경길용우연기생활이몇년인지정말발로해도그것보단낫겟다납치감금만반복반복이드라마는가족도없다연기못하는사람만모엿네,0,"[('별', 'Modifier'), ('반개', 'Noun'), ('도', 'Josa'), ('아깝', 'Adjective'), ('다욕', 'Noun'), ('나온다', 'Verb'), ('이응경', 'Noun'), ('길용우', 'Noun'), ('연기', 'Noun'), ('생활', 'Noun'), ('이', 'Josa'), ('몇년', 'Noun'), ('인지', 'Josa'), ('정말', 'Noun'), ('발', 'Noun'), ('로', 'Josa'), ('해도', 'Noun'), ('그것', 'Noun'), ('보단', 'Josa'), ('낫겟다', 'Verb'), ('납치', 'Noun'), ('감금', 'Noun'), ('만', 'Josa'), ('반복', 'Noun'), ('반복', 'Noun'), ('이', 'Josa'), ('드라마', 'Noun'), ('는', 'Josa'), ('가족', 'Noun'), ('도', 'Josa'), ('없다', 'Adjective'), ('연기', 'Noun'), ('못', 'Noun'), ('하', 'Suffix'), ('는', 'Josa'), ('사람', 'Noun'), ('만', 'Josa'), ('모', 'Noun'), ('엿', 'Modifier'), ('네', 'Noun')]"
7156791,액션이없는데도재미있는몇안되는영화,1,"[('액션', 'Noun'), ('이', 'Josa'), ('없는데도', 'Adjective'), ('재미있는', 'Adjective'), ('몇', 'Noun'), ('안되는', 'Adjective'), ('영화', 'Noun')]"
5912145,왜케평점이낮은건데꽤볼만한데헐리우드식화려함에만너무길들여져있나,1,"[('왜케', 'Noun'), ('평점', 'Noun'), ('이', 'Josa'), ('낮은건데', 'Adjective'), ('꽤볼', 'Noun'), ('만', 'Josa'), ('한', 'Determiner'), ('데', 'Noun'), ('헐리우드', 'Noun'), ('식', 'Suffix'), ('화려함에만', 'Adjective'), ('너무', 'Adverb'), ('길들여져있나', 'Verb')]"
9008700,걍인피니트가짱이다진짜짱이다,1,"[('걍', 'Adverb'), ('인피니트', 'Noun'), ('가', 'Josa'), ('짱', 'Noun'), ('이다', 'Josa'), ('진짜', 'Noun'), ('짱', 'Suffix'), ('이다', 'Josa')]"
10217543,볼때마다눈물나서죽겠다년대의향수자극허진호는감성절제멜로의달인이다,1,"[('볼때', 'Noun'), ('마다', 'Josa'), ('눈물나서', 'Verb'), ('죽겠다', 'Verb'), ('년대', 'Noun'), ('의', 'Josa'), ('향수', 'Noun'), ('자극', 'Noun'), ('허진호', 'Noun'), ('는', 'Josa'), ('감성', 'Noun'), ('절제', 'Noun'), ('멜로', 'Noun'), ('의', 'Josa'), ('달인', 'Noun'), ('이다', 'Josa')]"
5957425,울면서손들고횡단보도건널때뛰쳐나올뻔이범수연기드럽게못해,0,"[('울면', 'Noun'), ('서손', 'Noun'), ('들', 'Suffix'), ('고', 'Josa'), ('횡단보도', 'Noun'), ('건널', 'Verb'), ('때', 'Noun'), ('뛰', 'Verb'), ('쳐', 'Verb'), ('나올', 'Verb'), ('뻔', 'Noun'), ('이범수', 'Noun'), ('연기', 'Noun'), ('드럽게', 'Adjective'), ('못', 'VerbPrefix'), ('해', 'Verb')]"
8628627,담백하고깔끔해서좋다신문기사로만보다보면자꾸잊어버린다그들도사람이었다는것을,1,"[('담백하고', 'Adjective'), ('깔끔해서', 'Adjective'), ('좋다', 'Adjective'), ('신문', 'Noun'), ('기사', 'Noun'), ('로만', 'Noun'), ('보다', 'Josa'), ('보면', 'Verb'), ('자꾸', 'Noun'), ('잊어버린', 'Verb'), ('다그', 'Noun'), ('들', 'Suffix'), ('도', 'Josa'), ('사람', 'Noun'), ('이었다는', 'Verb'), ('것', 'Noun'), ('을', 'Josa')]"
9864035,취향은존중한다지만진짜내생에극장에서본영화중가장노잼노감동임스토리도어거지고감동도어거지,0,"[('취향', 'Noun'), ('은', 'Josa'), ('존중', 'Noun'), ('한', 'Determiner'), ('다지', 'Noun'), ('만', 'Josa'), ('진짜', 'Noun'), ('내생', 'Noun'), ('에', 'Josa'), ('극장', 'Noun'), ('에서', 'Josa'), ('본', 'Modifier'), ('영화', 'Noun'), ('중', 'Suffix'), ('가장', 'Noun'), ('노잼', 'Noun'), ('노', 'Noun'), ('감동', 'Noun'), ('임', 'Noun'), ('스토리', 'Noun'), ('도', 'Josa'), ('어거지', 'Noun'), ('고', 'Josa'), ('감동', 'Noun'), ('도', 'Josa'), ('어거지', 'Noun')]"
6852435,ㄱ냥매번긴장되고재밋음ㅠㅠ,1,"[('ㄱ', 'KoreanParticle'), ('냥', 'Noun'), ('매번', 'Noun'), ('긴장', 'Noun'), ('되', 'Verb'), ('고재', 'Noun'), ('밋음', 'Noun'), ('ㅠㅠ', 'KoreanParticle')]"
9143163,참사람들웃긴게바스코가이기면락스코라고까고바비가이기면아이돌이라고깐다그냥까고싶어서안달난것처럼보인다,1,"[('참', 'Verb'), ('사람', 'Noun'), ('들', 'Suffix'), ('웃긴게', 'Verb'), ('바스코', 'Noun'), ('가', 'Josa'), ('이', 'Determiner'), ('기면', 'Noun'), ('락스', 'Noun'), ('코', 'Noun'), ('라고', 'Josa'), ('까고', 'Verb'), ('바비', 'Noun'), ('가', 'Josa'), ('이', 'Determiner'), ('기면', 'Noun'), ('아이돌', 'Noun'), ('이라고', 'Josa'), ('깐', 'Verb'), ('다그', 'Noun'), ('냥', 'Josa'), ('까고싶어서', 'Verb'), ('안달', 'Noun'), ('난', 'Josa'), ('것', 'Noun'), ('처럼', 'Josa'), ('보인다', 'Verb')]"
4891476,굿바이레닌표절인것은이해하는데왜뒤로갈수록재미없어지냐,0,"[('굿바이', 'Noun'), ('레닌', 'Noun'), ('표절', 'Noun'), ('인', 'Josa'), ('것', 'Noun'), ('은', 'Josa'), ('이해', 'Noun'), ('하', 'Suffix'), ('는', 'Josa'), ('데왜뒤', 'Noun'), ('로', 'Josa'), ('갈수록', 'Noun'), ('재미', 'Noun'), ('없어지냐', 'Verb')]"
7465483,이건정말깨알캐스팅과질퍽하지않은산뜻한내용구성이잘버무러진깨알일드,1,"[('이건정', 'Noun'), ('말', 'Noun'), ('깨알', 'Noun'), ('캐스팅', 'Noun'), ('과', 'Josa'), ('질퍽', 'Noun'), ('하', 'Suffix'), ('지', 'Josa'), ('않은', 'Verb'), ('산뜻한내', 'Adjective'), ('용구성', 'Noun'), ('이', 'Josa'), ('잘', 'Verb'), ('버무러', 'Noun'), ('진', 'Noun'), ('깨알', 'Noun'), ('일드', 'Noun')]"
